name,dail,prev
Boy," I love you, Daddy Bender!"," Son, daddy's trying to score with a cheap floozy right now, so we need you to cram a Tinkertoy in it!"
Bender," Hey, what the hell are you doing? Quit hugging me!"," I love you, Daddy Bender!"
Fembot, I guess you're busy. I'll catch you later.," Hey, what the hell are you doing? Quit hugging me!"
Bender," Oh, come on!", I guess you're busy. I'll catch you later.
Adlai," I thought I'd take you someplace ordinary, a place no one could object to."," Oh, come on!"
Leela, That sounds wonderful.," I thought I'd take you someplace ordinary, a place no one could object to."
Man 4, I'd like an extra-beautiful bouquet for my extra-gorgeous sweetheart., That sounds wonderful.
Adlai," Average, please.", I'd like an extra-beautiful bouquet for my extra-gorgeous sweetheart.
Leela," Oh, Adlai, I've had a wonderful time today. No one's stared at me or avoided staring at me or tried to burn me. You make me feel so not weird."," Average, please."
Adlai," Leela, you're 999,999 in a million!"," Oh, Adlai, I've had a wonderful time today. No one's stared at me or avoided staring at me or tried to burn me. You make me feel so not weird."
Leela, Thanks for coming out to get to know my boyfriend. Isn't he dreamy?," Leela, you're 999,999 in a million!"
Zoidberg, Totally., Thanks for coming out to get to know my boyfriend. Isn't he dreamy?
Adlai," Uh, listen. I just want you all to know your Leela's one standard lady.", Totally.
Leela," Oh, Adlai, stop!"," Uh, listen. I just want you all to know your Leela's one standard lady."
Fry, What's so wonderful about Leela being normal? The rest of us aren't normal and that's what makes us great. Like Dr. Zoidberg," Oh, Adlai, stop!"
Zoidberg, Damn right!, What's so wonderful about Leela being normal? The rest of us aren't normal and that's what makes us great. Like Dr. Zoidberg
Fry, Hermes is a Rastafarian accountant., Damn right!
Hermes, Tally me banana., Hermes is a Rastafarian accountant.
Fry, Amy's a klutz from Mars., Tally me banana.
Amy, Sploops!, Amy's a klutz from Mars.
Farnsworth," And, Fry, you've got that brain thing.", Sploops!
Fry," I already did! So, Leela, do you wanna be like us? Or do you wanna be like Adlai with no severe mental or social problems whatsoever?"," And, Fry, you've got that brain thing."
Leela, That's the dumbest question I ever heard!," I already did! So, Leela, do you wanna be like us? Or do you wanna be like Adlai with no severe mental or social problems whatsoever?"
Farnsworth, She's right!, That's the dumbest question I ever heard!
Zoidberg, No doubt about it., She's right!
Amy, Duh!, No doubt about it.
Hermes, Daylight come!, Duh!
Bender," Coming through, watch your heads!", Daylight come!
Zoidberg, Help! I'm under attack!," Coming through, watch your heads!"
Bender," Remember your manners, kids. Forks go in the left pocket, spoons in the right.", Help! I'm under attack!
Elzar, Which one of you cutie muffins gets the children's spicy squab?," Remember your manners, kids. Forks go in the left pocket, spoons in the right."
Sam, Me!, Which one of you cutie muffins gets the children's spicy squab?
Bender, Ah-ah-ah! What do we say when someone gives you something?, Me!
Sam, 'Bout time!, Ah-ah-ah! What do we say when someone gives you something?
Bender, That's my boy!, 'Bout time!
Elzar, And here's your check. Bam!, That's my boy!
Albert, I gotta go poopy!, And here's your check. Bam!
Bender," Well you should've gone poopy before it was time to run out on the check! C'mon! Go, go! Through the kitchen!", I gotta go poopy!
Elzar, You little crooks! If I catch you I'm going to make cutie-muffin gumbo!," Well you should've gone poopy before it was time to run out on the check! C'mon! Go, go! Through the kitchen!"
Adlai," You know, seeing that strange robot force 12 children to do his bidding makes me think about kids of our own.", You little crooks! If I catch you I'm going to make cutie-muffin gumbo!
Leela, Us? Me? You? Kids?," You know, seeing that strange robot force 12 children to do his bidding makes me think about kids of our own."
Adlai," bachelor loca, settle down and have kids.", Us? Me? You? Kids?
Leela," Oh, Adlai, this is the most beautiful moment of my life!"," bachelor loca, settle down and have kids."
Albert," Daddy Bender, I want a piggy back ride."," Oh, Adlai, this is the most beautiful moment of my life!"
Bender, Daddy's tired. Let's just have another dog-pile on Fry.," Daddy Bender, I want a piggy back ride."
Sally," Tell us a story, Daddy Bender.", Daddy's tired. Let's just have another dog-pile on Fry.
Kids, Story! Story! Story!," Tell us a story, Daddy Bender."
Bender," Alright, fine, gather round.", Story! Story! Story!
Nina, We wanna hear this one again!," Alright, fine, gather round."
Bender," ""Bender's Arrest Record"" by the police. On March 3rd at 2pm, Bender was caught shoplifting.", We wanna hear this one again!
Albert, There he is!," ""Bender's Arrest Record"" by the police. On March 3rd at 2pm, Bender was caught shoplifting."
Bender," The grown-ups have to talk. Come on, Ma.", There he is!
Bender, Oh! I need a calculator.," The grown-ups have to talk. Come on, Ma."
Fry, You are a calculator., Oh! I need a calculator.
Bender, I'm getting 100 bucks a kid and they're costing me 110!, You are a calculator.
Fry, There goes my new kitchen cabinets., I'm getting 100 bucks a kid and they're costing me 110!
Bender, I'm not sitting through one more PTA meeting. The kids have got to go!, There goes my new kitchen cabinets.
Sam," Daddy, how do I flush you?", I'm not sitting through one more PTA meeting. The kids have got to go!
Bender, Just go to bed!," Daddy, how do I flush you?"
Adlai," You know, doing this jigsaw puzzle of a pacifier factory makes me want to have children with you all the more.", Just go to bed!
Leela," Adlai, I was thinking, since we're both orphans, maybe we should adopt a child."," You know, doing this jigsaw puzzle of a pacifier factory makes me want to have children with you all the more."
Adlai," Adoption? Yes, that's acceptable. Heck, it's more than acceptable, it's adequately satisfactory!"," Adlai, I was thinking, since we're both orphans, maybe we should adopt a child."
Bender, What?," Adoption? Yes, that's acceptable. Heck, it's more than acceptable, it's adequately satisfactory!"
Leela," Hi, Bender. We'd like to adopt a child.", What?
Bender," discount orphans. Now, little lady. What do I have to do to send you home with 12 orphans today?"," Hi, Bender. We'd like to adopt a child."
Adlai," Uh, I'm afraid we only want one."," discount orphans. Now, little lady. What do I have to do to send you home with 12 orphans today?"
Bender," Whatever you say, chief. I'll show you what I got in stock."," Uh, I'm afraid we only want one."
Leela, I remember this from when we were kids," Whatever you say, chief. I'll show you what I got in stock."
Albert, I'm Albert., I remember this from when we were kids
Leela, Kind of fatty., I'm Albert.
Bender, Then how about this little number? Pure-bred human. No vampire in there., Kind of fatty.
Leela," Uh, um.", Then how about this little number? Pure-bred human. No vampire in there.
Adlai, Hmm.," Uh, um."
Bender," Cursed with a third ear but so full of that emotion I understand is called ""love"".", Hmm.
Sally," One time, I did a hundred jump ropes."," Cursed with a third ear but so full of that emotion I understand is called ""love""."
Leela," Oh, I can't decide. We're gonna have to think about it."," One time, I did a hundred jump ropes."
Bender," OK, kids, grown-ups gotta talk now, time for bed."," Oh, I can't decide. We're gonna have to think about it."
Albert, But it's 10 in the morning!," OK, kids, grown-ups gotta talk now, time for bed."
Bender, I said hit the hay!, But it's 10 in the morning!
Leela," Oh, they're all so adorable.", I said hit the hay!
Bender," Yeah. You know, it's times like this I can hardly bear to let them go. Goodnight, you princes of Maine, you kings of New New England."," Oh, they're all so adorable."
Smitty, food and misrepresenting the weight of livestock.," Yeah. You know, it's times like this I can hardly bear to let them go. Goodnight, you princes of Maine, you kings of New New England."
Bender," If you had kids of your own, you'd understand!", food and misrepresenting the weight of livestock.
Leela," Officer, would it be alright if we adopted one of the kids?"," If you had kids of your own, you'd understand!"
Smitty, Might as well. They're just gonna rot in the evidence locker.," Officer, would it be alright if we adopted one of the kids?"
Orphan 1, Nice ear!, Might as well. They're just gonna rot in the evidence locker.
Orphan 2," Hey, freaky ears!", Nice ear!
Orphan 3, How's you hearing?," Hey, freaky ears!"
Leela, I've made up my mind. Let's adopt her., How's you hearing?
Adlai, Her? But there's plenty of normal ones., I've made up my mind. Let's adopt her.
Leela," Come on, Adlai. She could really use a mom and dad.", Her? But there's plenty of normal ones.
Kids, Ear-face! Ear-face! Sally won the ugly race!," Come on, Adlai. She could really use a mom and dad."
Adlai," On the other hand, the children bring up a good point. She does have an ear on her face.", Ear-face! Ear-face! Sally won the ugly race!
Leela, Well? So what? She may be different but she still deserves a good home.," On the other hand, the children bring up a good point. She does have an ear on her face."
Adlai," Oh, alright. If you really want that one, I can give her an operation to make her acceptable.", Well? So what? She may be different but she still deserves a good home.
Leela, She doesn't need an operation! She's fine the way she is!," Oh, alright. If you really want that one, I can give her an operation to make her acceptable."
Adlai, were?, She doesn't need an operation! She's fine the way she is!
Leela, Damn right I was!, were?
Fry, Yay!, Damn right I was!
Leela," Shut up, Fry. Now look, Adlai. I'm proud to be different. And I just wished I'd realised that when I was her age.", Yay!
Sally, I also have a tail!," Shut up, Fry. Now look, Adlai. I'm proud to be different. And I just wished I'd realised that when I was her age."
Leela, Now take me to the hospital and put my eye back the way it was. Right now!, I also have a tail!
Adlai, Why should I do that?, Now take me to the hospital and put my eye back the way it was. Right now!
Leela," Listen, buddy. By the end of the day, one of us is gonna have one eye.", Why should I do that?
Vogel," In recognition of Bender's generous gift of 12 orphans and a government cheque for 1200 wing-wangs, I hereby rename this building the Bender B. Rodriguez Orphanarium!"," Listen, buddy. By the end of the day, one of us is gonna have one eye."
Fry, It's good to have the old weird-looking Leela back.," In recognition of Bender's generous gift of 12 orphans and a government cheque for 1200 wing-wangs, I hereby rename this building the Bender B. Rodriguez Orphanarium!"
Leela," Aww! You're a true friend, Fry. I guess there's nothing wrong with being a little weird.", It's good to have the old weird-looking Leela back.
Fry," Leela, there's nothing wrong with anything."," Aww! You're a true friend, Fry. I guess there's nothing wrong with being a little weird."
Albert," We'll miss you, Daddy Bender."," Leela, there's nothing wrong with anything."
Nina, We know robots don't have emotions but we drawed you this picture.," We'll miss you, Daddy Bender."
Sally," So if you ever miss us, even just a teeny bit, you can look at it.", We know robots don't have emotions but we drawed you this picture.
Bender, I hate you! I hate you all!," So if you ever miss us, even just a teeny bit, you can look at it."
Mr Wong, Yes?, I hate you! I hate you all!
Amy," Hi, Dad. It's me and my co-workers.", Yes?
Mrs, Wong.," Hi, Dad. It's me and my co-workers."
Mrs Wong," Howdy, friends! Welcome to Mars!", Wong.
Leela," Thanks so much for inviting us, Mr. Wong. I've never been to a Mars Day barbecue."," Howdy, friends! Welcome to Mars!"
Mr Wong," Oh, Mars Day much better than Earth Day. Dump trash wherever you want! Big, empty planet!"," Thanks so much for inviting us, Mr. Wong. I've never been to a Mars Day barbecue."
Mrs Wong," OK, then. Make yourselves at home."," Oh, Mars Day much better than Earth Day. Dump trash wherever you want! Big, empty planet!"
Zoidberg, bubble bath? There was only enough to fill the tub halfway.," OK, then. Make yourselves at home."
Farnsworth, This is quite a large ranch you have., bubble bath? There was only enough to fill the tub halfway.
Mr, Wong That the best hemisphere!, This is quite a large ranch you have.
Farnsworth, It's the same on Earth., Wong That the best hemisphere!
Mr Wong, Here is most number one product of all, It's the same on Earth.
Zoidberg, I broke your television., Here is most number one product of all
Hermes," Mon, it must take forever to brand all those cattle.", I broke your television.
Mr Wong, Not really. We own so much stuff it easier just to brand everything that not ours.," Mon, it must take forever to brand all those cattle."
Hermes, Please don't do that., Not really. We own so much stuff it easier just to brand everything that not ours.
Amy," This is my sweet, little Betsy. I raised her from a larva that ate one of my sweaters.", Please don't do that.
Mr Wong," Yes, everybody love Betsy. We going to eat her at Amy's wedding. If she ever get married!"," This is my sweet, little Betsy. I raised her from a larva that ate one of my sweaters."
Amy, Dad! Gleesh! Please don't say things like that when you meet my boyfriend tonight.," Yes, everybody love Betsy. We going to eat her at Amy's wedding. If she ever get married!"
Mr, Wong., Dad! Gleesh! Please don't say things like that when you meet my boyfriend tonight.
Mrs Wong, I just hope he's a nice man who can make us lot of grandchildren. This not some parallel universe where you getting any younger., Wong.
Zapp," Now remember, Kif, the quickest way to a girl's bed is through her parents. Have sex with them and you're in.", I just hope he's a nice man who can make us lot of grandchildren. This not some parallel universe where you getting any younger.
Kif," Actually, sir, I'm-I'm a little nervous about meeting her family."," Now remember, Kif, the quickest way to a girl's bed is through her parents. Have sex with them and you're in."
Zapp," Well that's natural. After all you're meek and uninteresting. Until now you've gotten by on my left-over charisma, scrounging off it like a tiny charisma parasite."," Actually, sir, I'm-I'm a little nervous about meeting her family."
Kif, I just hope they like me.," Well that's natural. After all you're meek and uninteresting. Until now you've gotten by on my left-over charisma, scrounging off it like a tiny charisma parasite."
Zapp,, I just hope they like me.
Bender," Oh, yeah! Drop another barnyard bomb on us, Vanilla Corn!",
DJ," Yo, fool, it's Mixmaster Festus!"," Oh, yeah! Drop another barnyard bomb on us, Vanilla Corn!"
Fry," So what's Mars Day about, anyway?"," Yo, fool, it's Mixmaster Festus!"
Mrs Wong," It commemorate the day centuries ago when our ancestor, Sir Reginald Wong, bought Mars from stupid natives."," So what's Mars Day about, anyway?"
Leela," How can you call the Native Martians ""stupid""?"," It commemorate the day centuries ago when our ancestor, Sir Reginald Wong, bought Mars from stupid natives."
Mr Wong, They sell whole planet for one bead. Sound stupid to me!," How can you call the Native Martians ""stupid""?"
Farnsworth, stupid!, They sell whole planet for one bead. Sound stupid to me!
Leela," I can't believe you're laughing at the tragic exploitation of a proud, bead-loving people.", stupid!
Fry," Lighten up, Leela. It's funny!"," I can't believe you're laughing at the tragic exploitation of a proud, bead-loving people."
Leela, Of course it is. But you don't have to laugh!," Lighten up, Leela. It's funny!"
Kif," Amy, no! Not on your parents' planet!", Of course it is. But you don't have to laugh!
RJ," Howdy, Amy. Glad to see you've come back to the country. It's where the flavour is."," Amy, no! Not on your parents' planet!"
Amy," RJ, this is my boyfriend, Kif."," Howdy, Amy. Glad to see you've come back to the country. It's where the flavour is."
RJ," Cigarette, partner?"," RJ, this is my boyfriend, Kif."
Kif," Oh, I don't--"," Cigarette, partner?"
RJ, I haven't even lit it yet!," Oh, I don't--"
Kif, Oh. Is it lit now?, I haven't even lit it yet!
RJ, You're pathetic!, Oh. Is it lit now?
Zoidberg, Host-man! Host-woman! I'm having a wonderful time!, You're pathetic!
Mr Wong," You here five hours and already you tear up couch, draw moustache on priceless painting and fill pool with brine shrimp.", Host-man! Host-woman! I'm having a wonderful time!
Zoidberg," By the way, I took the liberty of fertilising your caviar."," You here five hours and already you tear up couch, draw moustache on priceless painting and fill pool with brine shrimp."
Amy, Just relax. I'm sure my parents will love you.," By the way, I took the liberty of fertilising your caviar."
Kif," Oh, goodness! Oh, odds and bodkins!", Just relax. I'm sure my parents will love you.
Fry, I'll have a thorax and some feelers.," Oh, goodness! Oh, odds and bodkins!"
Mr Wong, You want some salad with that?, I'll have a thorax and some feelers.
Fry, Yuck!, You want some salad with that?
Amy, Mom? Dad? You remember Kif?, Yuck!
Mr Wong, This your boyfriend? I have instant dislike of him!, Mom? Dad? You remember Kif?
Mrs Wong, He too scrawny to father grandchildren., This your boyfriend? I have instant dislike of him!
Amy," He's not scrawny, he's just small-boned.", He too scrawny to father grandchildren.
Kif," Actually, I don't have bones. I'm supported by a system of fluid-filled bladders that--"," He's not scrawny, he's just small-boned."
Mr Wong," Yes, yes! You a big squishy wuss! Amy should be dating real man. Like him!"," Actually, I don't have bones. I'm supported by a system of fluid-filled bladders that--"
Kif," I can be manly too. I think I'll, uh, light up a smoke."," Yes, yes! You a big squishy wuss! Amy should be dating real man. Like him!"
Amy, Wrong way!," I can be manly too. I think I'll, uh, light up a smoke."
Kif, Smooth!, Wrong way!
Amy, Look on the bright side, Smooth!
Kif," Oh, now they'll never think I'm manly enough to date their daughter.", Look on the bright side
Amy, I'll go get you a tissue from your tote.," Oh, now they'll never think I'm manly enough to date their daughter."
RJ," Hey there, Amy. Like you to meet my buddy, Joe.", I'll go get you a tissue from your tote.
Joe, club!," Hey there, Amy. Like you to meet my buddy, Joe."
RJ, Kids love him!, club!
Fry, What's that weird sound?, Kids love him!
Mr Wong," Dust storm! Oh, dust storm! Everybody into house. Hurry, before we die. And wipe your damn feet!", What's that weird sound?
Mrs Wong, Phew! Everyone OK? No one considering lawsuit?," Dust storm! Oh, dust storm! Everybody into house. Hurry, before we die. And wipe your damn feet!"
Farnsworth, Hmm. I might have mental anguish., Phew! Everyone OK? No one considering lawsuit?
Mr Wong, I'll have you know I'm friends with every judge on planet., Hmm. I might have mental anguish.
Farnsworth, I'm OK then., I'll have you know I'm friends with every judge on planet.
Mrs Wong," Storm dying down. Leo, check if buggalo herd is OK.", I'm OK then.
Mr Wong, Oh!," Storm dying down. Leo, check if buggalo herd is OK."
Leela, What happened to the buggalo?, Oh!
Mr Wong, They been rustled under cover of storm. We ruined!, What happened to the buggalo?
Zoidberg, Nooo!, They been rustled under cover of storm. We ruined!
Amy," Don't worry, Daddy. It'll be OK.", Nooo!
Mr, Wong Drunken garbage can?," Don't worry, Daddy. It'll be OK."
Hermes, This sounds like a job for--, Wong Drunken garbage can?
Kif, Lieutenant Kif Kroker!, This sounds like a job for--
Hermes, Alright then., Lieutenant Kif Kroker!
Mr Wong," Aye-ah! Those buggalo are what made Wong family so rich and powerful. Oh, Inez, with them stolen, we ruined!", Alright then.
Mrs Wong, OK. I want a divorce.," Aye-ah! Those buggalo are what made Wong family so rich and powerful. Oh, Inez, with them stolen, we ruined!"
Zoidberg, Mom! Dad! Don't ask me to choose!, OK. I want a divorce.
Amy," They're not your parents, I'm not your sister and that's not your golf cart.", Mom! Dad! Don't ask me to choose!
Zoidberg, Aw!," They're not your parents, I'm not your sister and that's not your golf cart."
Amy, Everybody just calm down. Kif promised he'd catch the rustlers., Aw!
Kif," Mrs. Wong, do you have a neckerchief I could borrow?", Everybody just calm down. Kif promised he'd catch the rustlers.
Kif," My plan is to take all the remaining buggalo and lead them on a rough, tough cattle drive. Then, when the rustlers attack, I'll make a citizen's arrest!"," Mrs. Wong, do you have a neckerchief I could borrow?"
Farnsworth," It sounds dangerous. Someone could get killed. Fry, Leela, Bender, I want you to go with him."," My plan is to take all the remaining buggalo and lead them on a rough, tough cattle drive. Then, when the rustlers attack, I'll make a citizen's arrest!"
Fry," Aw, man!"," It sounds dangerous. Someone could get killed. Fry, Leela, Bender, I want you to go with him."
Kif," Don't worry, Mr. and Mrs. Wong. I'll get your cattle back or die trying."," Aw, man!"
Mr Wong," Hey, we can't lose!"," Don't worry, Mr. and Mrs. Wong. I'll get your cattle back or die trying."
Amy," No, Kif! It's too risky. You don't have to do this to prove your manliness."," Hey, we can't lose!"
Mrs Wong," Oh, yes he does!"," No, Kif! It's too risky. You don't have to do this to prove your manliness."
RJ, Here are your mounts!," Oh, yes he does!"
Leela, She's got a fine coat., Here are your mounts!
Kif," Now, we need buggalo to lure the rustlers. How many are left?", She's got a fine coat.
Amy," Aw, she likes you!"," Now, we need buggalo to lure the rustlers. How many are left?"
Kif," Saddle up, men. We got some no good rustlers to ... catch!"," Aw, she likes you!"
Bender,," Saddle up, men. We got some no good rustlers to ... catch!"
Hed, better bite my ass!,
Fry, Yee-haw!, better bite my ass!
Leela," Wow, look at that", Yee-haw!
Fry, Where?," Wow, look at that"
Leela, Right in front of you., Where?
Fry,, Right in front of you.
Kif, We'll camp near the top. The rustlers will be sure to spot us there.,
Fry, Where?, We'll camp near the top. The rustlers will be sure to spot us there.
Bender," And even though the computer was off and unplugged, an image stayed on the screen. It was ... the Windows logo!", Where?
Fry," Pft, that's not scary!"," And even though the computer was off and unplugged, an image stayed on the screen. It was ... the Windows logo!"
Bender, It is if you're a laser printer.," Pft, that's not scary!"
Leela," OK, my turn to tell a ghost story. Once, there was this woman driving--", It is if you're a laser printer.
Fry, Hook on the hand!," OK, my turn to tell a ghost story. Once, there was this woman driving--"
Kif," OK, I've got one. This family--", Hook on the hand!
Fry, Man in the attic!," OK, I've got one. This family--"
Leela," Fine, Mr. Know-It-All-About-Something-Finally, you tell a story!", Man in the attic!
Fry," Once, not far from here, four people set out on a cattle drive--"," Fine, Mr. Know-It-All-About-Something-Finally, you tell a story!"
Bender," Sorry, go on."," Once, not far from here, four people set out on a cattle drive--"
Fry," And then, while they sat helplessly around the campfire ... a demented knife-wielding escaped lunatic libertarian zombie mutant snuck up and--"," Sorry, go on."
Amy, Surprise!," And then, while they sat helplessly around the campfire ... a demented knife-wielding escaped lunatic libertarian zombie mutant snuck up and--"
Kif, Amy? What are you doing here?, Surprise!
Amy, I forgot to give you something before you left., Amy? What are you doing here?
Kif, What?, I forgot to give you something before you left.
Amy, Is that your camouflage reflex or are you just happy to see me?, What?
Kif," I love it out here, Amy. I feel so manly. I have a blister, I-I spit! A-And of course, I tell no one my feelings.", Is that your camouflage reflex or are you just happy to see me?
Amy," But you still have them, right?"," I love it out here, Amy. I feel so manly. I have a blister, I-I spit! A-And of course, I tell no one my feelings."
Kif," Oh, yes. But I keep them inside until I can write them in my diary."," But you still have them, right?"
Amy," Ah, it's a wonderful night."," Oh, yes. But I keep them inside until I can write them in my diary."
Kif, It sure is. I could just lie here beside you staring at the sky all night.," Ah, it's a wonderful night."
Amy, What's that?, It sure is. I could just lie here beside you staring at the sky all night.
Kif, Maybe we just made love., What's that?
Amy, The buggalo! They're in the crater., Maybe we just made love.
Kif," The rustlers must have seen me coming and run off, scared.", The buggalo! They're in the crater.
Amy," Oh, Kif! You're so brave!"," The rustlers must have seen me coming and run off, scared."
Kif, Sh! They'll hear us!," Oh, Kif! You're so brave!"
Kif," OK, the dynamite's in place.", Sh! They'll hear us!
Amy, Are you sure there's no other way to get the buggalo out?," OK, the dynamite's in place."
Leela, Not unless your parents have thousands of helicopters at their disposal., Are you sure there's no other way to get the buggalo out?
Amy," Well, actually--", Not unless your parents have thousands of helicopters at their disposal.
Bender, Too late! This is more fun!," Well, actually--"
Amy, Kif! You did it! But how did you know the dynamite would work?, Too late! This is more fun!
Kif, I once took a seminar in ejecting chickens from a sand dune. The principle is essentially the same., Kif! You did it! But how did you know the dynamite would work?
Fry," Hey, it's that ""barbecue's over"" sound again.", I once took a seminar in ejecting chickens from a sand dune. The principle is essentially the same.
Leela, We're in the eye of the storm!," Hey, it's that ""barbecue's over"" sound again."
Fry, Where?, We're in the eye of the storm!
Bender, What's that?, Where?
Fry, My God!, What's that?
Leela, Who are they?, My God!
Singing Wind, Fehk! We are the Native Martians., Who are they?
Fry," Also, I didn't know buggalo could fly.", Fehk! We are the Native Martians.
Singing Wind, Only those who revere Mother Mars can fly buggalo. And only they shall have buggalo. And they're us.," Also, I didn't know buggalo could fly."
Kif," But your, um, Martian-ness, these buggalo aren't yours. They belong to the Wong family.", Only those who revere Mother Mars can fly buggalo. And only they shall have buggalo. And they're us.
Singing Wind, You mean family that took all Martian land and gave us one lousy bead?," But your, um, Martian-ness, these buggalo aren't yours. They belong to the Wong family."
Amy, And you are?, You mean family that took all Martian land and gave us one lousy bead?
Singing Wind, Mad at Wong family! We plan to ruin them by stealing buggalo. But now we take girl instead., And you are?
Amy, Wait! I'm too rich to be kidnapped!, Mad at Wong family! We plan to ruin them by stealing buggalo. But now we take girl instead.
Kif, Amy! Nooo!, Wait! I'm too rich to be kidnapped!
Bender," Don't worry, Kif. I'm sure some other beautiful, rich girl will fall in love with you.", Amy! Nooo!
Mr Wong, Hooray! You bring back cattle.," Don't worry, Kif. I'm sure some other beautiful, rich girl will fall in love with you."
Kif, Yes ... but ... I'm afraid I've got some bad news as well., Hooray! You bring back cattle.
Mrs, Wong Why Amy being so quiet?, Yes ... but ... I'm afraid I've got some bad news as well.
Kif," Um ... well, um ... that is, um...", Wong Why Amy being so quiet?
Mr, Wong I know it them 'cause they no use good grammar.," Um ... well, um ... that is, um..."
Kif," I'll get your daughter back, sir. I swear.", Wong I know it them 'cause they no use good grammar.
Mr Wong," Forget it, squishy. You the one lose her in first place. You done enough."," I'll get your daughter back, sir. I swear."
Mrs Wong, Yeah. This time we get most decorated law man in the whole universe!," Forget it, squishy. You the one lose her in first place. You done enough."
Kif," You mean-- Oh, no, please. I beg you! Oh, for the love of--", Yeah. This time we get most decorated law man in the whole universe!
Zapp," I am the man with no name. Zapp Brannigan, at your service!"," You mean-- Oh, no, please. I beg you! Oh, for the love of--"
Mrs Wong," Please, Mr. Brannigan, we need you go get our daughter back."," I am the man with no name. Zapp Brannigan, at your service!"
Zapp, Your gasps intrigue me. Explain.," Please, Mr. Brannigan, we need you go get our daughter back."
Mr Wong, Martians have no land. They been gently encouraged to live on reservation deep underground. No one ever dare go there., Your gasps intrigue me. Explain.
Farnsworth," This mission is incredibly dangerous. Someone's sure to be killed. Fry, Leela, Bender--", Martians have no land. They been gently encouraged to live on reservation deep underground. No one ever dare go there.
Bender," Damn you, old man!"," This mission is incredibly dangerous. Someone's sure to be killed. Fry, Leela, Bender--"
Leela," Aw, look. Betsy followed you, Kif!"," Damn you, old man!"
Zapp," I didn't realise you were bringing your girlfriend, lieutenant!"," Aw, look. Betsy followed you, Kif!"
Kif, She won't leave me alone.," I didn't realise you were bringing your girlfriend, lieutenant!"
Zapp,, She won't leave me alone.
Zapp, Behold,
Fry, Hm., Behold
Zapp, The only known entrance to the Martian reservation., Hm.
Leela, What about the Great Stone Ass of Mars?, The only known entrance to the Martian reservation.
Zapp," Well, yeah, but it's way over the other side of the planet.", What about the Great Stone Ass of Mars?
Zapp," Nose-ward, ho!"," Well, yeah, but it's way over the other side of the planet."
Singing Wind," Fehk! I am Singing Wind, chief of the Martian tribe."," Nose-ward, ho!"
Zapp, Take me to your leader.," Fehk! I am Singing Wind, chief of the Martian tribe."
Singing Wind, Moving along. Why you trespass on our land?, Take me to your leader.
Zapp, We come to negotiate the release of Amy Wong. And just to clarify, Moving along. Why you trespass on our land?
Leela, They have such respect for the planet., We come to negotiate the release of Amy Wong. And just to clarify
Martian 1, Cynthia used to drink Slurm., They have such respect for the planet.
Singing Wind, We will give back girl when we get back planet surface., Cynthia used to drink Slurm.
Zapp, How do we even know she's alive?, We will give back girl when we get back planet surface.
Amy, I'm fine., How do we even know she's alive?
Zapp, Sh! You're weakening our bargaining position. How about instead you give us the girl and we carve a bunch of our presidents into your sacred mountain?, I'm fine.
Singing Wind, You waste words. We want return of land that was taken from us., Sh! You're weakening our bargaining position. How about instead you give us the girl and we carve a bunch of our presidents into your sacred mountain?
Bender," Uh, actually you traded it for a bead.", You waste words. We want return of land that was taken from us.
Singing Wind, Tribe suffer heap big buyer's remorse. We want land back!," Uh, actually you traded it for a bead."
Zapp, ... no backsies!, Tribe suffer heap big buyer's remorse. We want land back!
Singing Wind, The time for stupid statements is over!, ... no backsies!
Zapp," Oh, boy!", The time for stupid statements is over!
Leela," Ow, ow, ow, ow! My eye!"," Oh, boy!"
Zoidberg, Ma! Pa! Our precious ranch!," Ow, ow, ow, ow! My eye!"
Kif," Stay calm, dearest! I'll save you!", Ma! Pa! Our precious ranch!
Amy, You're flying Betsy!," Stay calm, dearest! I'll save you!"
Kif, Need a lift?, You're flying Betsy!
Singing Wind, Great Mother Mars! He has the gift!, Need a lift?
Leela," Yay, Kif!", Great Mother Mars! He has the gift!
Zapp," Kroker, that was one Brannigan-esque feat of heroism!"," Yay, Kif!"
Singing Wind," We have misjudged you, green one. You fly the buggalo like us. You have true reverence for Mother Mars. Let there be peace between us."," Kroker, that was one Brannigan-esque feat of heroism!"
Martian 2, Yes. Let us smoke-em peace pipe.," We have misjudged you, green one. You fly the buggalo like us. You have true reverence for Mother Mars. Let there be peace between us."
Kif, Smoke-em?, Yes. Let us smoke-em peace pipe.
Singing Wind," Here, take.", Smoke-em?
Kif," Ooh, no thanks. I'm on the peace patch."," Here, take."
Singing Wind," You must smoke peace pipe, and you must do it peacefully. Or we'll kill you."," Ooh, no thanks. I'm on the peace patch."
Kif," Well, it's just really that I don't feel that--"," You must smoke peace pipe, and you must do it peacefully. Or we'll kill you."
Zapp," Don't be such a chicken, Kif. Teenagers all smoke and they seem pretty on-the-ball."," Well, it's just really that I don't feel that--"
Fry, Yeah!," Don't be such a chicken, Kif. Teenagers all smoke and they seem pretty on-the-ball."
Zapp," Yes, sir!", Yeah!
Bender, Way to suck it!," Yes, sir!"
Kif," Oh, monkey trumpets!", Way to suck it!
Singing Wind, You have coughed at our offer of peace. So you must die!," Oh, monkey trumpets!"
Martian 3, The very bead used to crush our dreams shall be used to crush your bones., You have coughed at our offer of peace. So you must die!
