,0,raw,name
486,"Fry: It looked good but I just don't feel like eating. You want it?
","Fry: It looked good but I just don't feel like eating. You want it?
",Fry
487,"Bender The chemical energy keeps my fuel cells charged.
","Bender The chemical energy keeps my fuel cells charged.
","Bender The chemical energy keeps my fuel cells charged.
"
488,"Fry: What are the cigars for?
","Fry: What are the cigars for?
",Fry
489,"Bender: They make me look cool.
","Bender: They make me look cool.
",Bender
490,"Fry: I can't believe they threw me out like that. I must have been really acting like a jerk.
","Fry: I can't believe they threw me out like that. I must have been really acting like a jerk.
",Fry
491,"Bender That's my philosophy. So, where you gonna stay?
","Bender That's my philosophy. So, where you gonna stay?
","Bender That's my philosophy. So, where you gonna stay?
"
492,"Fry: I don't know. Do refrigerators still come in cardboard boxes?
","Fry: I don't know. Do refrigerators still come in cardboard boxes?
",Fry
493,"Bender: Yeah, but the rents are outrageous. Why don't you just come move in with me?
","Bender: Yeah, but the rents are outrageous. Why don't you just come move in with me?
",Bender
494,"Fry: Really? That'd be great! You sure I won't be imposing?
","Fry: Really? That'd be great! You sure I won't be imposing?
",Fry
495,"Bender: Nah, I've always wanted a pet.
","Bender: Nah, I've always wanted a pet.
",Bender
496,"Bender: Here we are. Your new home.
","Bender: Here we are. Your new home.
",Bender
497,"Fry: Cool! Y'know, I've never even seen a robot's apartment before.
","Fry: Cool! Y'know, I've never even seen a robot's apartment before.
",Fry
498,"Bender: Come on in, I'll give you the tour!
","Bender: Come on in, I'll give you the tour!
",Bender
499,"Bender: Let's see, where to start. OK, this is the TV area, that over there's the breakfast nook, and over here is where you'll be living which is great because, until now, it's just been wasted space.
","Bender: Let's see, where to start. OK, this is the TV area, that over there's the breakfast nook, and over here is where you'll be living which is great because, until now, it's just been wasted space.
",Bender
500,"Fry: It's kinda cramped in here. I don't even have room to hang my clothes.
","Fry: It's kinda cramped in here. I don't even have room to hang my clothes.
",Fry
501,"Bender: Look, pal, you've only got one set of clothes and you're not taking them off while I'm here. Well, I'm bushed. G'night.
","Bender: Look, pal, you've only got one set of clothes and you're not taking them off while I'm here. Well, I'm bushed. G'night.
",Bender
502,"Fry: Wait, Bender. Bender?
","Fry: Wait, Bender. Bender?
",Fry
503,"Bender: Kill all humans ... kill all humans ... must kill all the humans.
","Bender: Kill all humans ... kill all humans ... must kill all the humans.
",Bender
504,"Fry: Bender, wake up!
","Fry: Bender, wake up!
",Fry
505,"Bender: I was having the most wonderful dream. I think you were in it.
","Bender: I was having the most wonderful dream. I think you were in it.
",Bender
506,"Fry: Uh, listen, Bender. Uh, where's your bathroom?
","Fry: Uh, listen, Bender. Uh, where's your bathroom?
",Fry
507,"Bender: Bath what?
","Bender: Bath what?
",Bender
508,"Fry: Bathroom.
","Fry: Bathroom.
",Fry
509,"Bender: What room?
","Bender: What room?
",Bender
510,"Fry!
","Fry!
","Fry!
"
511,"Bender: What what?
","Bender: What what?
",Bender
512,"Fry: Ah, never mind!
","Fry: Ah, never mind!
",Fry
513,"Bender: Hey, sexy mama, wanna kill all the humans?
","Bender: Hey, sexy mama, wanna kill all the humans?
",Bender
514,"Leela: We sure are cheerful this morning.
","Leela: We sure are cheerful this morning.
",Leela
515,"Bender: Yeah, this past week with Fry's been a blast! Y'know, beneath this warm, sunny exterior beats the cold, mechanical heart of a robot.
","Bender: Yeah, this past week with Fry's been a blast! Y'know, beneath this warm, sunny exterior beats the cold, mechanical heart of a robot.
",Bender
516,"Leela: What happened to you?
","Leela: What happened to you?
",Leela
517,"Fry Now you're OK.
","Fry Now you're OK.
","Fry Now you're OK.
"
518,"Leela: Look at yourself. You're a wreck! You've got to find a new place to live.
","Leela: Look at yourself. You're a wreck! You've got to find a new place to live.
",Leela
519,"Fry: Is that an invitation?
","Fry: Is that an invitation?
",Fry
520,"Leela: Love your optimism, Fry. But seriously, you've got to tell Bender you're moving out.
","Leela: Love your optimism, Fry. But seriously, you've got to tell Bender you're moving out.
",Leela
521,"Fry: Yeah, but he might get kind of upset. I don't think I can do that to him.
","Fry: Yeah, but he might get kind of upset. I don't think I can do that to him.
",Fry
522,"Bender: Hey, there's my little space heater.
","Bender: Hey, there's my little space heater.
",Bender
523,"Fry: Well, I'm moving out!
","Fry: Well, I'm moving out!
",Fry
524,"Bender: What?
","Bender: What?
",Bender
525,"Fry: I'm sorry, Bender, but there's just not enough room.
","Fry: I'm sorry, Bender, but there's just not enough room.
",Fry
526,"Bender: Not enough room? My place is two cubic metres and we only take up 1.5 cubic metres. We've got room for a-whole-nother two-thirds of a person.
","Bender: Not enough room? My place is two cubic metres and we only take up 1.5 cubic metres. We've got room for a-whole-nother two-thirds of a person.
",Bender
527,"Leela: What if I just helped the two of you find a bigger apartment?
","Leela: What if I just helped the two of you find a bigger apartment?
",Leela
528,"Bender And now they're gone.
","Bender And now they're gone.
","Bender And now they're gone.
"
529,"Underwater house salesman places. But if you like dank, hey, forget about it!
","Underwater house salesman places. But if you like dank, hey, forget about it!
","Underwater house salesman places. But if you like dank, hey, forget about it!
"
530,"Leela: At least it's got a great view.
","Leela: At least it's got a great view.
",Leela
531,"Bender: What the--?
","Bender: What the--?
",Bender
532,"Underwater House Salesman: Excuse me. I gotta go change a lightbulb.
","Underwater House Salesman: Excuse me. I gotta go change a lightbulb.
",Underwater House Salesman
533,"Leela is fantastic!
","Leela is fantastic!
","Leela is fantastic!
"
534,"Fry: Hmm. I'm not sure we want to pay for a dimension we're not going to use.
","Fry: Hmm. I'm not sure we want to pay for a dimension we're not going to use.
",Fry
535,"Fry: Well, I give up. What's the catch?
","Fry: Well, I give up. What's the catch?
",Fry
536,"Suspiciously fantastic apartment salesman
","Suspiciously fantastic apartment salesman
","Suspiciously fantastic apartment salesman
"
537,"Fry: Not one place even remotely liveable.
","Fry: Not one place even remotely liveable.
",Fry
538,"Farnsworth Sad, sad, terrible, gruesome news about my colleague, Dr. Mbutu.
","Farnsworth Sad, sad, terrible, gruesome news about my colleague, Dr. Mbutu.
","Farnsworth Sad, sad, terrible, gruesome news about my colleague, Dr. Mbutu.
"
539,"Leela: Was his apartment rent-controlled?
","Leela: Was his apartment rent-controlled?
",Leela
540,"Leela: Wow. This is beautiful.
","Leela: Wow. This is beautiful.
",Leela
541,"Bender: What's with all the crap?
","Bender: What's with all the crap?
",Bender
542,"Leela: It's not crap.
","Leela: It's not crap.
",Leela
543,"Hattie: Dr. Mbutu collected this crap while he was exploring the watcha-call-it ... universe!
","Hattie: Dr. Mbutu collected this crap while he was exploring the watcha-call-it ... universe!
",Hattie
544,"Fry: Well, this place has everything except the only thing I care about: A TV.
","Fry: Well, this place has everything except the only thing I care about: A TV.
",Fry
545,"Hattie: It's got a TV, you young watcha-call-it ... idiot!
","Hattie: It's got a TV, you young watcha-call-it ... idiot!
",Hattie
546,"Fry: Ooh!
","Fry: Ooh!
",Fry
547,"Bender (from inside) It's perfect!
","Bender (from inside) It's perfect!
","Bender (from inside) It's perfect!
"
548,"Fry: Man, it's a total sty! For the first time in a thousand years, I feel like I'm home.
","Fry: Man, it's a total sty! For the first time in a thousand years, I feel like I'm home.
",Fry
549,"Bender: Yeah! It's gonna be fun on the bun! Y'know, Fry, of all the friends I've had, you're the first.
","Bender: Yeah! It's gonna be fun on the bun! Y'know, Fry, of all the friends I've had, you're the first.
",Bender
550,"Hermes: Hey, mon!
","Hermes: Hey, mon!
",Hermes
551,"Leela It's a miniature fruit salad tree.
","Leela It's a miniature fruit salad tree.
","Leela It's a miniature fruit salad tree.
"
552,"Fry Hey, Amy!
","Fry Hey, Amy!
","Fry Hey, Amy!
"
553,"Amy: Hey!
","Amy: Hey!
",Amy
554,"Farnsworth Zevulon the Great. He's teriyaki style.
","Farnsworth Zevulon the Great. He's teriyaki style.
","Farnsworth Zevulon the Great. He's teriyaki style.
"
555,"Bender I'd better go out for more beer.
","Bender I'd better go out for more beer.
","Bender I'd better go out for more beer.
"
556,"Fry is about to start!
","Fry is about to start!
","Fry is about to start!
"
557,"Bender right I'll be emotionally and electrically drained.
","Bender right I'll be emotionally and electrically drained.
","Bender right I'll be emotionally and electrically drained.
"
558,"Fry: Hey!
","Fry: Hey!
",Fry
559,"Hermes: These are mighty tasty!
","Hermes: These are mighty tasty!
",Hermes
560,"Zoidberg: Thank you. I made them myself.
","Zoidberg: Thank you. I made them myself.
",Zoidberg
561,"Fry: Sh! The wedding's about to start!
","Fry: Sh! The wedding's about to start!
",Fry
562,"Preacherbot: If anyone here objects to this union, let them speak now or forever hold their—
","Preacherbot: If anyone here objects to this union, let them speak now or forever hold their—
",Preacherbot
563,"Fry: Is he objecting or backing up?
","Fry: Is he objecting or backing up?
",Fry
564,"Amy: Looks like both.
","Amy: Looks like both.
",Amy
565,"Calculon: I'm afraid my half-brother is correct. You see, I have a terrible secret and that secret is--
","Calculon: I'm afraid my half-brother is correct. You see, I have a terrible secret and that secret is--
",Calculon
566,"Amy: Oh, this isn't right.
","Amy: Oh, this isn't right.
",Amy
567,"Hermes: Oh, come on!
","Hermes: Oh, come on!
",Hermes
568,"Farnsworth: Fix it!
","Farnsworth: Fix it!
",Farnsworth
569,"Bender: Hey, what happened to the TV?
","Bender: Hey, what happened to the TV?
",Bender
570,"Fry: It just went out.
","Fry: It just went out.
",Fry
571,"Bender: This is an outrage! I'm gonna go yell at the manager!
","Bender: This is an outrage! I'm gonna go yell at the manager!
",Bender
572,"Hermes: Alright!
","Hermes: Alright!
",Hermes
573,"Fry: Come back, Bender! It's working!
","Fry: Come back, Bender! It's working!
",Fry
574,"Calculon: To reiterate, my terrible secret is--
","Calculon: To reiterate, my terrible secret is--
",Calculon
575,"Fry: It's out again.
","Fry: It's out again.
",Fry
576,"Bender: What? That's the last straw!
","Bender: What? That's the last straw!
",Bender
577,"Fry: It's back on!
","Fry: It's back on!
",Fry
578,"Hattie: Pardon me. I don't mean to pry into what you're doing in here with the crab and the one-eyed lady and the Chinese girl but everyone on this floor is having trouble with their TV reception.
","Hattie: Pardon me. I don't mean to pry into what you're doing in here with the crab and the one-eyed lady and the Chinese girl but everyone on this floor is having trouble with their TV reception.
",Hattie
579,"Bender: Yeah! And you'd better get rid of whatever's causing it or we're outta this dump!
","Bender: Yeah! And you'd better get rid of whatever's causing it or we're outta this dump!
",Bender
580,"Hattie: Relax, sonny. This kajigger'll find the source of the interference.
","Hattie: Relax, sonny. This kajigger'll find the source of the interference.
",Hattie
581,"Tenant #1: What's going on?
","Tenant #1: What's going on?
",Tenant #1
582,"Tenant #2: We want our TV back!
","Tenant #2: We want our TV back!
",Tenant #2
583,"Hattie: There's your problem.
","Hattie: There's your problem.
",Hattie
584,"Amy: Oh, my God! Bender, it's your thingy!
","Amy: Oh, my God! Bender, it's your thingy!
",Amy
585,"Randy: Then get rid of it!
","Randy: Then get rid of it!
",Randy
586,"Tenant #1: Get out!
","Tenant #1: Get out!
",Tenant #1
587,"Bender: You people are nuts. My antenna never interfered with my old TV.
","Bender: You people are nuts. My antenna never interfered with my old TV.
",Bender
588,"Leela: You had cable. This is satellite.
","Leela: You had cable. This is satellite.
",Leela
589,"Farnsworth: Obviously your thoughts are being transmitted on the same frequency.
","Farnsworth: Obviously your thoughts are being transmitted on the same frequency.
",Farnsworth
590,"Huge-assed woman: They're on my cell phone too.
","Huge-assed woman: They're on my cell phone too.
",Huge-assed woman
591,"Bender: Madam, I believe you're mistaken!
","Bender: Madam, I believe you're mistaken!
",Bender
592,"Bender ass!
","Bender ass!
","Bender ass!
"
593,"Bender: Those could be anyone's thoughts, fat ass!
","Bender: Those could be anyone's thoughts, fat ass!
",Bender
594,"Randy: The robot has to go!
","Randy: The robot has to go!
",Randy
595,"Tenant #1: Yeah.
","Tenant #1: Yeah.
",Tenant #1
596,"Tenant #3: Get him out of here!
","Tenant #3: Get him out of here!
",Tenant #3
597,"Hattie: Well, you heard the mob!
","Hattie: Well, you heard the mob!
",Hattie
598,"Bender: Fine! Come on, Fry, let's move to that apartment that smelled like a sewer. You liked that one, right?
","Bender: Fine! Come on, Fry, let's move to that apartment that smelled like a sewer. You liked that one, right?
",Bender
599,"Fry: It's tempting, but, well, I am already kinda settled in here.
","Fry: It's tempting, but, well, I am already kinda settled in here.
",Fry
600,"Bender: Or we could live underground with the mutants. A little fire'll show 'em who's boss!
","Bender: Or we could live underground with the mutants. A little fire'll show 'em who's boss!
",Bender
601,"Fry: Uh, listen, is there maybe some way we could do this with you going and me not going?
","Fry: Uh, listen, is there maybe some way we could do this with you going and me not going?
",Fry
602,"Bender: I don't understand.
","Bender: I don't understand.
",Bender
603,"Fry: Well, you were gonna live in the closet anyway. Won't you be just as happy back in your old place?
","Fry: Well, you were gonna live in the closet anyway. Won't you be just as happy back in your old place?
",Fry
604,"Bender: But, then we wouldn't be roommates.
","Bender: But, then we wouldn't be roommates.
",Bender
605,"Fry: I'll come visit sometime. And you can visit me here.
","Fry: I'll come visit sometime. And you can visit me here.
",Fry
606,"Hattie: No he can't.
","Hattie: No he can't.
",Hattie
607,"Fry: Anyway, I'm sure it'll work out. This way we'll both be happy.
","Fry: Anyway, I'm sure it'll work out. This way we'll both be happy.
",Fry
608,"Bender: Happy. Yeah, that's Bender. Always happy.
","Bender: Happy. Yeah, that's Bender. Always happy.
",Bender
609,"Randy: Hey, the TV's back on!
","Randy: Hey, the TV's back on!
",Randy
610,"Preacherbot: We are gathered here to mourn the death of Calculon; industrialist, private eye, friend.
","Preacherbot: We are gathered here to mourn the death of Calculon; industrialist, private eye, friend.
",Preacherbot
611,"Calculon give the eulogy?
","Calculon give the eulogy?
","Calculon give the eulogy?
"
612,"Monique: Calculon! You're alive!
","Monique: Calculon! You're alive!
",Monique
613,"Randy: Calculon's back!
","Randy: Calculon's back!
",Randy
614,"Farnsworth: Right, so long.
","Farnsworth: Right, so long.
",Farnsworth
615,"Zoidberg: Goodbye.
","Zoidberg: Goodbye.
",Zoidberg
616,"Amy: Do you think Calculon's evil twin will ever walk again?
","Amy: Do you think Calculon's evil twin will ever walk again?
",Amy
617,"Hermes: I don't know, Amy. I just don't know.
","Hermes: I don't know, Amy. I just don't know.
",Hermes
618,"Fry: Hey, thanks for coming.
","Fry: Hey, thanks for coming.
",Fry
619,"Leela: Fry, you're Bender's best friend. How could you let that mob kick him out?
","Leela: Fry, you're Bender's best friend. How could you let that mob kick him out?
",Leela
620,"Fry: Ah, come on. Bender loves mobs.
","Fry: Ah, come on. Bender loves mobs.
",Fry
621,"Leela: Only when he's in them and you know it. You really hurt his feelings.
","Leela: Only when he's in them and you know it. You really hurt his feelings.
",Leela
622,"Fry: Don't girl me with that girl stuff. Bender and me are guys. Guys don't have feelings.
","Fry: Don't girl me with that girl stuff. Bender and me are guys. Guys don't have feelings.
",Fry
623,"Leela a guy, he's a robot.
","Leela a guy, he's a robot.
","Leela a guy, he's a robot.
"
624,"Fry: Same thing.
","Fry: Same thing.
",Fry
625,"Bender: It's so big and empty.
","Bender: It's so big and empty.
",Bender
626,"Bender Oh, what's the point?
","Bender Oh, what's the point?
","Bender Oh, what's the point?
"
627,"Leela My God, you're a mess!
","Leela My God, you're a mess!
","Leela My God, you're a mess!
"
628,"Bender: Leave me alone!
","Bender: Leave me alone!
",Bender
629,"Leela: Look at that five o'clock rust. You've been up all night not drinking, haven't you?
","Leela: Look at that five o'clock rust. You've been up all night not drinking, haven't you?
",Leela
630,"Bender: Hey. What I don't do is none of your business.
","Bender: Hey. What I don't do is none of your business.
",Bender
631,"Leela: Please, Bender. Have some malt liquor. If not for yourself then for the people who love you.
","Leela: Please, Bender. Have some malt liquor. If not for yourself then for the people who love you.
",Leela
632,"Bender: I hate the people who love me and they hate me.
","Bender: I hate the people who love me and they hate me.
",Bender
633,"Leela: Oh, now look. It's obvious you miss being Fry's roommate. But there's got to be a better way to deal with this.
","Leela: Oh, now look. It's obvious you miss being Fry's roommate. But there's got to be a better way to deal with this.
",Leela
634,"Bender: Like how? Having my antenna removed?
","Bender: Like how? Having my antenna removed?
",Bender
635,"Leela: Well, if that would work.
","Leela: Well, if that would work.
",Leela
636,"Bender: Are you crazy? That's Little Bender you're talking about. I can't cut it off. You're not a robot or a man so you wouldn't understand. I gotta get out of here.
","Bender: Are you crazy? That's Little Bender you're talking about. I can't cut it off. You're not a robot or a man so you wouldn't understand. I gotta get out of here.
",Bender
637,"Leela: Wait! I want you to look me in the eye and promise you won't get behind the wheel without some kind of alcoholic beverage in your hand.
","Leela: Wait! I want you to look me in the eye and promise you won't get behind the wheel without some kind of alcoholic beverage in your hand.
",Leela
638,"Bender!
","Bender!
","Bender!
"
639,"Fry: What up?
","Fry: What up?
",Fry
640,"Leela: I can't just stand by and be silent about Bender anymore.
","Leela: I can't just stand by and be silent about Bender anymore.
",Leela
641,"Fry: Silent? You've been meddling for two solid weeks.
","Fry: Silent? You've been meddling for two solid weeks.
",Fry
642,"Leela: Well I can't just do that anymore. Your best friend is out there somewhere destroying himself.
","Leela: Well I can't just do that anymore. Your best friend is out there somewhere destroying himself.
",Leela
643,"Fry: Really? I didn't think he'd miss this apartment that much.
","Fry: Really? I didn't think he'd miss this apartment that much.
",Fry
644,"Leela: He doesn't care about the apartment, he cares about you. And you turned your back on him.
","Leela: He doesn't care about the apartment, he cares about you. And you turned your back on him.
",Leela
645,"Fry: Oh, man. I had no idea. If only I knew where he was I'd go talk to him.
","Fry: Oh, man. I had no idea. If only I knew where he was I'd go talk to him.
",Fry
646,"Fry Bender! You're blind-stinking sober!
","Fry Bender! You're blind-stinking sober!
","Fry Bender! You're blind-stinking sober!
"
647,"Bender: That's right! I'm sober and crazy and I don't know what I might do!
","Bender: That's right! I'm sober and crazy and I don't know what I might do!
",Bender
648,"Fry: Don't do it!
","Fry: Don't do it!
",Fry
649,"Bender: I don't know what it is yet. Oh, yeah, now I remember. I thought I could live alone, but I can't. So, I'm gonna do what it takes to be your roommate again.
","Bender: I don't know what it is yet. Oh, yeah, now I remember. I thought I could live alone, but I can't. So, I'm gonna do what it takes to be your roommate again.
",Bender
650,"Leela: Bender! Stop!
","Leela: Bender! Stop!
",Leela
651,"Fry: Cutting Leela's head off won't solve anything!
","Fry: Cutting Leela's head off won't solve anything!
",Fry
652,"Bender: No, I'm going to chop off my antenna.
","Bender: No, I'm going to chop off my antenna.
",Bender
653,"Fry: Hey, yeah! That sounds good. Can I give you a hand?
","Fry: Hey, yeah! That sounds good. Can I give you a hand?
",Fry
654,"Leela: Fry! Don't help him mutilate himself.
","Leela: Fry! Don't help him mutilate himself.
",Leela
655,"Fry or something.
","Fry or something.
","Fry or something.
"
656,"Bender: I'm gonna do it! I'm really gonna do it! Don't try and stop me! Here goes.
","Bender: I'm gonna do it! I'm really gonna do it! Don't try and stop me! Here goes.
",Bender
657,"Fry: Hey, it works! The static's gone.
","Fry: Hey, it works! The static's gone.
",Fry
658,"Human Friend: I hate that this came between us, Calculon.
","Human Friend: I hate that this came between us, Calculon.
",Human Friend
659,"Calculon: Me too. I'm filled with a large number of powerful emotions.
","Calculon: Me too. I'm filled with a large number of powerful emotions.
",Calculon
660,"Human Friend: You're my best friend. I'm sorry I treated you so badly.
","Human Friend: You're my best friend. I'm sorry I treated you so badly.
",Human Friend
661,"Calculon: Apology accepted. After all, you're only human.
","Calculon: Apology accepted. After all, you're only human.
",Calculon
662,"Leela: You guys could learn a lesson from those two.
","Leela: You guys could learn a lesson from those two.
",Leela
663,"Fry: She's right.
","Fry: She's right.
",Fry
664,"Bender: You're my best friend, Fry, I'm sorry I treated you so badly.
","Bender: You're my best friend, Fry, I'm sorry I treated you so badly.
",Bender
665,"Fry: Apology accepted. After all, you're only human.
","Fry: Apology accepted. After all, you're only human.
",Fry
666,"Leela Oh, never mind!
","Leela Oh, never mind!
","Leela Oh, never mind!
"
667,"Fry: What's wrong?
","Fry: What's wrong?
",Fry
668,"Bender: Nothing. I guess I'm just going to have to get used to being half a robot.
","Bender: Nothing. I guess I'm just going to have to get used to being half a robot.
",Bender
669,"Fry: Aw, this isn't right. Listen, Bender, if we found your antenna could they still reattach it?
","Fry: Aw, this isn't right. Listen, Bender, if we found your antenna could they still reattach it?
",Fry
670,"Bender: Maybe. If we get it on ice right away.
","Bender: Maybe. If we get it on ice right away.
",Bender
671,"Smitty: Bingo!
","Smitty: Bingo!
",Smitty
672,"URL an antenna?
","URL an antenna?
","URL an antenna?
"
673,"Bender: This time, you'll have all the human comfort. We'll get a couple of toilets, some food cookers, maybe a puppy.
","Bender: This time, you'll have all the human comfort. We'll get a couple of toilets, some food cookers, maybe a puppy.
",Bender
674,"Fry: It's good to be home.
","Fry: It's good to be home.
",Fry
675,"Bender: It sure is. By the way, I saved your stuff.
","Bender: It sure is. By the way, I saved your stuff.
",Bender
676,"Fry: So that's where those skin flakes went. Hmm, do you think this fruit tree's going to get enough light?
","Fry: So that's where those skin flakes went. Hmm, do you think this fruit tree's going to get enough light?
",Fry
677,"Bender: There's a window in the closet.
","Bender: There's a window in the closet.
",Bender
678,"Fry: This is huge! Bender, why don't I just live in here?
","Fry: This is huge! Bender, why don't I just live in here?
",Fry
679,"Bender: In a closet? Oh, humans!
","Bender: In a closet? Oh, humans!
",Bender
680,"Leela: This place was a great choice. The food is amazing. And such generous portions.
","Leela: This place was a great choice. The food is amazing. And such generous portions.
",Leela
681,"Doug: You like the meal just wait until you try these after-dinner mints.
","Doug: You like the meal just wait until you try these after-dinner mints.
",Doug
682,"Leela Ew!
","Leela Ew!
","Leela Ew!
"
683,"Fry: What was wrong with your date last night?
","Fry: What was wrong with your date last night?
",Fry
684,"Leela lizard tongue.
","Leela lizard tongue.
","Leela lizard tongue.
"
685,"Amy: You're too picky.
","Amy: You're too picky.
",Amy
686,"Fry: Yeah. If you rule out every guy with a lizard tongue or a low I.Q. or an explosive violent temper, of course you're gonna be lonely.
","Fry: Yeah. If you rule out every guy with a lizard tongue or a low I.Q. or an explosive violent temper, of course you're gonna be lonely.
",Fry
687,"Leela: There's nothing wrong with having high standards. Now can we please stop--
","Leela: There's nothing wrong with having high standards. Now can we please stop--
",Leela
688,"Zoidberg: The female Leela's problem is purely medical. Soon she will drop her eggs and they will hatch and all will be well.
","Zoidberg: The female Leela's problem is purely medical. Soon she will drop her eggs and they will hatch and all will be well.
",Zoidberg
689,"Amy: You just have to give guys a chance. Sometimes you meet a guy and think he's a pig, but then later you realise he actually has a really good body.
","Amy: You just have to give guys a chance. Sometimes you meet a guy and think he's a pig, but then later you realise he actually has a really good body.
",Amy
690,"Leela: Thank you all for the inspiring advice, but I'm perfectly happy with my life the way it is.
","Leela: Thank you all for the inspiring advice, but I'm perfectly happy with my life the way it is.
",Leela
691,"Bender: That sounds like a cry for help.
","Bender: That sounds like a cry for help.
",Bender
692,"Amy: Let's all take her out tonight. There's lots of great places to meet people.
","Amy: Let's all take her out tonight. There's lots of great places to meet people.
",Amy
693,"Hermes: The Federal Sex Bureau.
","Hermes: The Federal Sex Bureau.
",Hermes
694,"Bender: A saucy puppet show.
","Bender: A saucy puppet show.
",Bender
695,"Zoidberg: The rotting carcass of a whale.
","Zoidberg: The rotting carcass of a whale.
",Zoidberg
696,"Amy: Hmm, I'll pick!
","Amy: Hmm, I'll pick!
",Amy
697,"Amy: Oh, wow! It's totally retro!
","Amy: Oh, wow! It's totally retro!
",Amy
698,"Fry?
","Fry?
","Fry?
"
699,"Amy: Guh! Because nobody wears them anymore! Rings are stupid!
","Amy: Guh! Because nobody wears them anymore! Rings are stupid!
",Amy
700,"Fry: I think they look cool.
","Fry: I think they look cool.
",Fry
701,"Amy: Sh! Don't let anyone hear you say that!
","Amy: Sh! Don't let anyone hear you say that!
",Amy
702,"Man: Hey, did that guy just say rings are cool?
","Man: Hey, did that guy just say rings are cool?
",Man
703,"Amy: Nope, he said they're stupid.
","Amy: Nope, he said they're stupid.
",Amy
704,"Man: Cool!
","Man: Cool!
",Man
705,"Amy: So what do you think of that guy by the bar?
","Amy: So what do you think of that guy by the bar?
",Amy
706,"Leela: I don't know. Maybe?
","Leela: I don't know. Maybe?
",Leela
707,"Bender: Forget it, he's gay.
","Bender: Forget it, he's gay.
",Bender
708,"Leela: What? How can you tell?
","Leela: What? How can you tell?
",Leela
709,"Bender.
","Bender.
","Bender.
"
710,"Leela: There's no such thing.
","Leela: There's no such thing.
",Leela
711,"Bender Yep! He's gay!
","Bender Yep! He's gay!
","Bender Yep! He's gay!
"
712,"Amy: Are you sure?
","Amy: Are you sure?
",Amy
713,"Bender: Definitely. Unless I'm getting interference from a gay weather balloon.
","Bender: Definitely. Unless I'm getting interference from a gay weather balloon.
",Bender
714,"21st-century girl: You're from the 20th century? That's incredible! I'm from the 21st century.
","21st-century girl: You're from the 20th century? That's incredible! I'm from the 21st century.
",21st-century girl
715,"Fry: No way! We've got so much in common.
","Fry: No way! We've got so much in common.
",Fry
716,"21st-century girl: We sure do. Remember when those cyborgs enslaved humanity?
","21st-century girl: We sure do. Remember when those cyborgs enslaved humanity?
",21st-century girl
717,"Fry: Uh, yeah! That rings a bell.
","Fry: Uh, yeah! That rings a bell.
",Fry
718,"Amy. Bolt is a hyper-sled racer with 10 wins on the pro-circuit.
","Amy. Bolt is a hyper-sled racer with 10 wins on the pro-circuit.
","Amy. Bolt is a hyper-sled racer with 10 wins on the pro-circuit.
"
719,"Bolt: Hello, beautiful!
","Bolt: Hello, beautiful!
",Bolt
720,"Bender circuit.
","Bender circuit.
","Bender circuit.
"
721,"Bolt: I wish! Those cats can really fly.
","Bolt: I wish! Those cats can really fly.
",Bolt
722,"Amy, an entity of pure energy.
","Amy, an entity of pure energy.
","Amy, an entity of pure energy.
"
723,"Leela: That's great, really, but he's just not what I'm looking for.
","Leela: That's great, really, but he's just not what I'm looking for.
",Leela
724,"M-5438: I understand. One day you will evolve beyond your physical body, and on that day I hope you will pick up the phone.
","M-5438: I understand. One day you will evolve beyond your physical body, and on that day I hope you will pick up the phone.
",M-5438
725,"Amy: You're impossible.
","Amy: You're impossible.
",Amy
726,"Bender: Just as well; I think he comes from a dimension that's big on musical theatre.
","Bender: Just as well; I think he comes from a dimension that's big on musical theatre.
",Bender
727,"Fry: Pst. I need the apartment tonight. Go see a saucy puppet show.
","Fry: Pst. I need the apartment tonight. Go see a saucy puppet show.
",Fry
728,"Bender: Can do!
","Bender: Can do!
",Bender
729,"The Hip Joint janitor Oh, my! Eurgh! I'm sorry, I thought you had two eyes.
","The Hip Joint janitor Oh, my! Eurgh! I'm sorry, I thought you had two eyes.
","The Hip Joint janitor Oh, my! Eurgh! I'm sorry, I thought you had two eyes.
"
730,"Bender: So, Leela, you must have had your pick of the litter last night at closing time.
","Bender: So, Leela, you must have had your pick of the litter last night at closing time.
",Bender
731,"Leela: Could you guys please stop talking about my personal life?
","Leela: Could you guys please stop talking about my personal life?
",Leela
732,"Farnsworth: Yes, let's all talk about Leela's personal life later. But right now we have business to attend to.
","Farnsworth: Yes, let's all talk about Leela's personal life later. But right now we have business to attend to.
",Farnsworth
733,"Fry: A delivery?
","Fry: A delivery?
",Fry
734,"Farnsworth: No. A tax-deductible mission of charity.
","Farnsworth: No. A tax-deductible mission of charity.
",Farnsworth
735,"Computer Voice.
","Computer Voice.
","Computer Voice.
"
736,"Farnsworth: This is Vergon 6.
","Farnsworth: This is Vergon 6.
",Farnsworth
737,"Amy!
","Amy!
","Amy!
"
738,"Farnsworth: It's a sunny little doomed planet, inhabited by a number of frisky little doomed animals.
","Farnsworth: It's a sunny little doomed planet, inhabited by a number of frisky little doomed animals.
",Farnsworth
739,"Leela: Animals?
","Leela: Animals?
",Leela
740,"Farnsworth, each pound of which weighs over ten thousand  pounds.
","Farnsworth, each pound of which weighs over ten thousand  pounds.
","Farnsworth, each pound of which weighs over ten thousand  pounds.
"
741,"Leela: Wait! What about the animals?
","Leela: Wait! What about the animals?
",Leela
